ProdFin;StockNmb;InitDate;FinDate;Quantity;InitUnitPrice;FinUnitPrice;Currency;Banco;Cupao;ProdType;YahooSymbol;Owning;ProdCodeBank1;ProdCodeBank2
IE00B46MFP70;1;10/09/2021;;1377.756;9.98;;EUR;ABANCA;1;1;0P0000SOHO.F;1;;
IE00B65YMK29;1;10/09/2021;02/10/2023;91.618;150.08;142.06;EUR;ABANCA;0;1;;2;;
IE00B8K7V925;1;04/09/2019;;1225.49;10.88;;USD;ABANCA;1;1;;1;;
IE00B8K7V925;2;15/07/2020;;612.745;10.67;;USD;ABANCA;1;1;;1;;
LU0088927925;1;13/09/2021;;197.813;69.51;;EUR;ABANCA;0;1;0P00000EBS.F;1;;
LU0093503737;1;13/09/2021;;1556.31;17.67;;EUR;ABANCA;0;1;;1;;
LU0115773425;1;17/06/2024;;81.71;61.19;;EUR;BANKINTER;0;1;;1;;
LU0115773425;2;18/07/2024;;79.68;62.75;;EUR;BANKINTER;0;1;;1;;
LU0248178062;1;10/07/2024;;5.43;367.8682;;EUR;BANKINTER;0;1;;1;;
LU0260869739;1;10/07/2024;;158.528;31.54;;EUR;BANKINTER;0;1;;1;;
LU0260870158;1;10/07/2024;;107.921;46.33;;EUR;BANKINTER;0;1;;1;;
LU0333810850;1;18/06/2024;;54.794;54.75;;EUR;BANKINTER;0;1;0P0000D1RA.F;1;;
LU0333810850;2;18/07/2024;;71.187;56.19;;EUR;BANKINTER;0;1;0P0000D1RA.F;1;;
LU0352312184;2;16/09/2021;;43.699;228.84;;EUR;ABANCA;0;1;;1;;
LU0395794307;1;15/07/2020;;278;124.82;;EUR;ABANCA;1;1;0P0000J05K.F;1;;
LU0425487740;1;13/09/2021;;1617;17.007;;EUR;ABANCA;1;1;;1;;
LU0474970190;1;16/09/2021;;39.74879;251.58;;EUR;ABANCA;0;1;;1;;
LU0579995191;1;28/06/2023;;368.73;13.56;;EUR;BANKINTER;1;1;;1;BGF EEI EUR D;
LU0599946893;1;10/07/2024;;23.2085;172.35;;EUR;BANKINTER;0;1;;1;;
LU0714182606;1;28/06/2023;;44.984;111.15;;EUR;BANKINTER;1;1;;1;JP ESD D EURDIS;
LU0772958798;1;10/07/2024;;9.226;325.1455;;EUR;BANKINTER;0;1;;1;;
LU0815074496;1;04/09/2019;;75.069;133.21;;USD;ABANCA;1;1;;1;;
LU0815074496;2;15/07/2020;;37.535;124.49;;USD;ABANCA;1;1;;1;;
LU0820561818;1;18/02/2020;;476.715;9.09;;USD;ABANCA;1;1;;1;;
LU0820561818;2;15/07/2020;;238.357;8.73;;USD;ABANCA;1;1;;1;;
LU0840139785;1;10/07/2024;;176.15;17.03;;EUR;BANKINTER;0;1;;1;;
LU0840139785;2;18/07/2024;;290.02;17.24;;EUR;BANKINTER;0;1;;1;;
LU0840139785;3;18/07/2024;;231.864;30.19;;EUR;BANKINTER;0;1;;1;;
LU0905234141;1;04/09/2019;;1033.38;9.667;;USD;ABANCA;1;1;;1;;
LU0905234141;2;15/07/2020;;516.69;9.253;;USD;ABANCA;1;1;;1;;
LU0913601281;1;15/07/2020;;3015.682;8.29;;EUR;ABANCA;1;1;;1;;
LU0987487419;1;15/07/2020;;2684;8.77;;EUR;ABANCA;1;1;;1;;
LU0987487419;2;13/09/2021;;1099.02;9.099;;EUR;ABANCA;1;1;;1;;
LU1054321515;1;15/07/2020;26/03/2024;249;88.72;94.79;EUR;ABANCA;1;1;;2;;
LU1097689795;1;28/06/2023;;1107.248;9.0314;;EUR;BANKINTER;1;1;;1;INV GI E E DIS;
LU1097689795;2;28/06/2023;;1107.248;9.0314;;EUR;BANKINTER;1;1;;1;INV GI E E DIS;
LU1097689795;3;18/07/2024;;1045.631;9.5636;;EUR;BANKINTER;1;1;;1;INV GI E E DIS;
LU1116037828;1;15/09/2021;;91.72629;109.02;;EUR;ABANCA;1;1;;1;;
LU1124235240;1;28/06/2023;;1090.928;9.1665;;EUR;BANKINTER;1;1;;1;abrdn DIVERS INC A EUR;
LU1223202513;1;15/07/2020;;338;83.64;;EUR;ABANCA;1;1;;1;;
LU1295552621;1;13/09/2021;;1167.109;18.85;;EUR;ABANCA;0;1;;1;;
LU1309513502;1;26/05/2023;;1746.216;8.59;;EUR;BANKINTER;1;1;;1;FRANKLIN D N EUR;
LU1309513502;2;28/06/2023;;586.166;8.53;;EUR;BANKINTER;1;1;;1;FRANKLIN D N EUR;
LU1381420600;1;13/09/2021;;778.4855;14.13;;EUR;ABANCA;0;1;;1;;
